HGNC_Symbol,Log2FC,P_Value,DataSet
CAMK2G,0.03,0.36313,Stanley
CAMK1,-0.06,0.22588,Stanley
CAMK1D,0.05,0.14057,Stanley
CAMK1G,-0.03,0.51032,Stanley
CAMK4,-0.03,0.22127,Stanley
CHEK1,0.01,0.60614,Stanley
CHEK2,0,0.91369,Stanley
TRIB3,-0.05,0.22511,Stanley
DAPK1,0.01,0.61021,Stanley
DAPK2,0.02,0.65076,Stanley
DAPK3,-0.01,0.69738,Stanley
DCLK1,-0.08,0.2783,Stanley
HUNK,-0.06,0.1804,Stanley
KALRN,0,0.94215,Stanley
NIM1K,0.02,0.87123,Stanley
DCLK2,-0.01,0.75415,Stanley
CAMKV,0.01,0.77351,Stanley
SIK3,0.05,0.06304,Stanley
OBSCN,0.02,0.74585,Stanley
DCLK3,0.11,0.09923,Stanley
BRSK1,-0.06,0.15675,Stanley
NUAK2,0.02,0.63208,Stanley
MKNK1,0.08,0.12035,Stanley
MKNK2,-0.02,0.42277,Stanley
MARK1,-0.03,0.15983,Stanley
MARK2,0.03,0.12854,Stanley
MARK3,-0.01,0.70629,Stanley
MARK4,-0.02,0.61058,Stanley
MELK,0,0.92962,Stanley
MAPKAPK2,0.03,0.22397,Stanley
MAPKAPK3,0.03,0.259,Stanley
MAPKAPK5,-0.01,0.80339,Stanley
MYLK2,0.13,0.30195,Stanley
MYLK,0.04,0.32929,Stanley
PASK,0.03,0.22795,Stanley
TRIB1,-0.05,0.15331,Stanley
PHKG1,-0.03,0.4552,Stanley
PHKG2,-0.01,0.68201,Stanley
PIM1,0.05,0.16381,Stanley
PIM2,-0.01,0.79067,Stanley
PRKD1,-0.03,0.25084,Stanley
PRKD3,0.02,0.29136,Stanley
PRKD2,-0.01,0.58896,Stanley
PRKAA1,0,0.87783,Stanley
PRKAA2,0.05,0.27854,Stanley
PSKH1,0.05,0.27087,Stanley
SIK2,0,0.92392,Stanley
STK11,-0.02,0.61094,Stanley
STK17A,-0.03,0.11966,Stanley
STK17B,-0.03,0.24752,Stanley
TSSK2,0,0.92407,Stanley
TSSK3,0.01,0.82824,Stanley
TSSK1B,0.01,0.74816,Stanley
BRSK2,0.02,0.45468,Stanley
STK33,0.07,0.1549,Stanley
PSKH2,0.06,0.16398,Stanley
TSSK6,-0.13,0.13675,Stanley
PNCK,-0.01,0.80803,Stanley
SNRK,0,0.99215,Stanley
SIK1,0.05,0.13081,Stanley
TTN,-0.01,0.74721,Stanley
TRIB2,-0.06,0.22735,Stanley
TRIO,0.03,0.08879,Stanley
STK40,-0.17,0.01458,Stanley
CAMK2G,-0.07,0,CommonMind_DLPFC
HUNK,-0.09,1.6e-4,CommonMind_DLPFC
TRIB2,0.08,6.2e-4,CommonMind_DLPFC
CAMKV,0.05,8e-4,CommonMind_DLPFC
DAPK2,0.07,0.00152,CommonMind_DLPFC
CAMK1D,-0.05,0.00207,CommonMind_DLPFC
CAMK1G,0.05,0.02155,CommonMind_DLPFC
CAMK2B,-0.03,0.02183,CommonMind_DLPFC
PRKD1,-0.04,0.02361,CommonMind_DLPFC
PIM3,-0.06,0.02745,CommonMind_DLPFC
STK33,-0.04,0.03175,CommonMind_DLPFC
OBSCN,0.06,0.0339,CommonMind_DLPFC
TTN,0.05,0.03493,CommonMind_DLPFC
PASK,-0.04,0.05433,CommonMind_DLPFC
PRKD2,0.07,0.07323,CommonMind_DLPFC
CHEK1,-0.04,0.08803,CommonMind_DLPFC
MYLK,-0.03,0.09152,CommonMind_DLPFC
STK17A,-0.02,0.1073,CommonMind_DLPFC
MYLK4,-0.05,0.1093,CommonMind_DLPFC
SIK3,-0.02,0.1159,CommonMind_DLPFC
PNCK,0.03,0.1357,CommonMind_DLPFC
PHKG1,-0.06,0.1513,CommonMind_DLPFC
DCLK1,0.02,0.1862,CommonMind_DLPFC
STK17B,0.04,0.1907,CommonMind_DLPFC
BRSK1,0.02,0.1975,CommonMind_DLPFC
CAMK1,0.02,0.2398,CommonMind_DLPFC
SNRK,-0.01,0.2446,CommonMind_DLPFC
PSKH1,-0.02,0.2545,CommonMind_DLPFC
CAMK2A,-0.02,0.3223,CommonMind_DLPFC
TRIB1,0.04,0.3343,CommonMind_DLPFC
CAMK4,-0.02,0.3466,CommonMind_DLPFC
SIK2,-0.01,0.3572,CommonMind_DLPFC
MARK4,0.01,0.3593,CommonMind_DLPFC
PIM2,0.02,0.3818,CommonMind_DLPFC
TRIO,-0.01,0.3822,CommonMind_DLPFC
STK40,-0.01,0.3883,CommonMind_DLPFC
MAPKAPK5,0.01,0.4774,CommonMind_DLPFC
CASK,0.01,0.5199,CommonMind_DLPFC
CAMK2D,-0.01,0.5301,CommonMind_DLPFC
BRSK2,0.01,0.5924,CommonMind_DLPFC
KALRN,-0.01,0.6043,CommonMind_DLPFC
MAPKAPK3,0.01,0.6117,CommonMind_DLPFC
PIM1,0.02,0.6118,CommonMind_DLPFC
MKNK2,0.01,0.6168,CommonMind_DLPFC
MARK3,0,0.6409,CommonMind_DLPFC
MYLK3,-0.02,0.6462,CommonMind_DLPFC
NUAK1,0.01,0.6769,CommonMind_DLPFC
PRKAA1,0,0.7074,CommonMind_DLPFC
PHKG2,0,0.72,CommonMind_DLPFC
TSSK4,-0.01,0.7404,CommonMind_DLPFC
TRIB3,0.01,0.7492,CommonMind_DLPFC
PRKD3,0,0.7932,CommonMind_DLPFC
MARK1,0,0.8062,CommonMind_DLPFC
DCLK2,0,0.8161,CommonMind_DLPFC
PRKAA2,0,0.872,CommonMind_DLPFC
MAPKAPK2,0,0.8878,CommonMind_DLPFC
DAPK1,0,0.8953,CommonMind_DLPFC
CHEK2,0,0.9301,CommonMind_DLPFC
DAPK3,0,0.9315,CommonMind_DLPFC
MARK2,0,0.9335,CommonMind_DLPFC
MKNK1,0,0.9443,CommonMind_DLPFC
SIK1,0,0.9543,CommonMind_DLPFC
DCLK3,0,0.9591,CommonMind_DLPFC
STK11,0,0.9853,CommonMind_DLPFC
MARK3,0.19,0.04804,Deep_Neurons
CHEK1,0.1,0.10355,Deep_Neurons
STK17A,0.14,0.11874,Deep_Neurons
TSSK4,-0.14,0.16086,Deep_Neurons
BRSK2,-0.09,0.17026,Deep_Neurons
CAMKV,-0.09,0.20623,Deep_Neurons
DCLK2,-0.11,0.22591,Deep_Neurons
HUNK,-0.1,0.26533,Deep_Neurons
TSSK2,-0.1,0.26564,Deep_Neurons
CAMK1,-0.1,0.2991,Deep_Neurons
DAPK3,0.1,0.31043,Deep_Neurons
STK17B,0.09,0.33996,Deep_Neurons
DCLK1,0.21,0.34252,Deep_Neurons
CAMK2D,0.1,0.36744,Deep_Neurons
MYLK4,-0.06,0.37191,Deep_Neurons
MYLK2,-0.08,0.3885,Deep_Neurons
KALRN,-0.05,0.38884,Deep_Neurons
TRIB2,0.09,0.39096,Deep_Neurons
MARK2,0.07,0.39295,Deep_Neurons
MYLK,0.04,0.40875,Deep_Neurons
PSKH1,0.06,0.43035,Deep_Neurons
MAPKAPK2,0.07,0.44224,Deep_Neurons
DAPK2,0.05,0.45867,Deep_Neurons
STK40,0.05,0.46838,Deep_Neurons
PHKG2,-0.05,0.49108,Deep_Neurons
MAPKAPK3,-0.06,0.49726,Deep_Neurons
PASK,-0.05,0.52144,Deep_Neurons
DAPK1,0.05,0.54257,Deep_Neurons
CAMK2G,-0.05,0.54415,Deep_Neurons
PHKG1,-0.05,0.55568,Deep_Neurons
PRKAA1,-0.03,0.5965,Deep_Neurons
MKNK2,-0.06,0.60101,Deep_Neurons
MYLK3,-0.04,0.6044,Deep_Neurons
TSSK1B,0.04,0.61582,Deep_Neurons
CAMK1G,0.03,0.61798,Deep_Neurons
TSSK3,-0.04,0.64747,Deep_Neurons
PSKH2,0.05,0.6691,Deep_Neurons
OBSCN,0.02,0.68199,Deep_Neurons
CHEK2,0.04,0.68382,Deep_Neurons
TTN,-0.02,0.68746,Deep_Neurons
MARK1,0.03,0.68887,Deep_Neurons
CAMK2A,0.04,0.69845,Deep_Neurons
STK11,0.03,0.71765,Deep_Neurons
CAMK2B,-0.03,0.76929,Deep_Neurons
SNRK,0.02,0.77095,Deep_Neurons
PRKD2,-0.03,0.77132,Deep_Neurons
NIM1K,-0.02,0.77949,Deep_Neurons
NUAK1,-0.03,0.78524,Deep_Neurons
MAPKAPK5,-0.02,0.8016,Deep_Neurons
MKNK1,0.02,0.80269,Deep_Neurons
CAMK4,-0.02,0.8044,Deep_Neurons
PRKAA2,0.01,0.84335,Deep_Neurons
PIM1,0.01,0.84506,Deep_Neurons
MELK,-0.01,0.87054,Deep_Neurons
TRIB3,-0.01,0.8757,Deep_Neurons
DCLK3,-0.01,0.89116,Deep_Neurons
CAMK1D,0.01,0.89141,Deep_Neurons
TRIB1,-0.01,0.90562,Deep_Neurons
TRIO,0.01,0.9233,Deep_Neurons
PRKD3,-0.01,0.92743,Deep_Neurons
BRSK1,-0.01,0.93537,Deep_Neurons
TSSK6,0.01,0.94178,Deep_Neurons
SIK2,0,0.9489,Deep_Neurons
SIK3,0,0.95137,Deep_Neurons
STK33,0,0.961,Deep_Neurons
PRKD1,0,0.96557,Deep_Neurons
MARK4,0,0.96858,Deep_Neurons
NUAK2,0,0.97772,Deep_Neurons
TSSK3,-0.04,0.58583,Superficial_Neurons
PRKAA2,0,0.98329,Superficial_Neurons
MAPKAPK2,0.08,0.42191,Superficial_Neurons
CAMK1G,0.03,0.6928,Superficial_Neurons
MARK1,0.04,0.65115,Superficial_Neurons
OBSCN,0.01,0.79274,Superficial_Neurons
STK40,0.05,0.50318,Superficial_Neurons
MKNK1,0,0.99309,Superficial_Neurons
NUAK2,0,0.94614,Superficial_Neurons
CAMK1D,0.02,0.88162,Superficial_Neurons
CAMK2G,-0.06,0.50144,Superficial_Neurons
BRSK2,-0.09,0.19584,Superficial_Neurons
MARK2,0.08,0.35882,Superficial_Neurons
SIK2,-0.01,0.87226,Superficial_Neurons
CHEK1,0.11,0.09335,Superficial_Neurons
STK33,0,0.94955,Superficial_Neurons
SIK3,-0.02,0.83106,Superficial_Neurons
MAPKAPK5,-0.04,0.6165,Superficial_Neurons
NUAK1,0,0.98999,Superficial_Neurons
DCLK1,0.17,0.4451,Superficial_Neurons
TSSK4,-0.15,0.13994,Superficial_Neurons
MARK3,0.2,0.03888,Superficial_Neurons
PRKD1,0.01,0.86994,Superficial_Neurons
DAPK2,0.04,0.59552,Superficial_Neurons
PHKG2,-0.05,0.54658,Superficial_Neurons
PSKH1,0.05,0.47481,Superficial_Neurons
MYLK3,-0.04,0.58279,Superficial_Neurons
STK11,0.02,0.81665,Superficial_Neurons
MARK4,0,0.96979,Superficial_Neurons
BRSK1,-0.01,0.92274,Superficial_Neurons
MKNK2,-0.05,0.62901,Superficial_Neurons
DAPK3,0.13,0.22147,Superficial_Neurons
TSSK6,0.03,0.77101,Superficial_Neurons
PRKD2,-0.03,0.71631,Superficial_Neurons
TRIB2,0.09,0.38757,Superficial_Neurons
PRKD3,0,0.97303,Superficial_Neurons
TTN,-0.02,0.69758,Superficial_Neurons
STK17B,0.09,0.33329,Superficial_Neurons
PASK,-0.06,0.53048,Superficial_Neurons
TRIB3,-0.01,0.92348,Superficial_Neurons
MYLK2,-0.1,0.32024,Superficial_Neurons
HUNK,-0.1,0.25983,Superficial_Neurons
TSSK2,-0.11,0.24783,Superficial_Neurons
CHEK2,0.04,0.63297,Superficial_Neurons
SNRK,0.02,0.83622,Superficial_Neurons
MAPKAPK3,-0.06,0.53915,Superficial_Neurons
KALRN,-0.07,0.26254,Superficial_Neurons
CAMK1,-0.12,0.23072,Superficial_Neurons
DCLK3,-0.01,0.93519,Superficial_Neurons
CAMKV,-0.09,0.22001,Superficial_Neurons
MYLK,0.05,0.39145,Superficial_Neurons
DCLK2,-0.09,0.31264,Superficial_Neurons
CAMK2D,0.1,0.3776,Superficial_Neurons
TRIO,0,0.98656,Superficial_Neurons
NIM1K,-0.02,0.79405,Superficial_Neurons
CAMK4,-0.03,0.70191,Superficial_Neurons
PRKAA1,-0.04,0.56471,Superficial_Neurons
TSSK1B,0.03,0.69583,Superficial_Neurons
CAMK2A,0.04,0.69252,Superficial_Neurons
PIM1,0,0.95538,Superficial_Neurons
MYLK4,-0.07,0.35314,Superficial_Neurons
STK17A,0.15,0.10204,Superficial_Neurons
CAMK2B,-0.05,0.58798,Superficial_Neurons
PHKG1,-0.05,0.58716,Superficial_Neurons
TRIB1,0,0.97626,Superficial_Neurons
PSKH2,0.05,0.68254,Superficial_Neurons
MELK,-0.01,0.88117,Superficial_Neurons
DAPK1,0.06,0.48324,Superficial_Neurons
MARK3,0.39,0.00721,Superficial_Deep_Neurons
CHEK1,0.21,0.02708,Superficial_Deep_Neurons
STK17A,0.29,0.03248,Superficial_Deep_Neurons
TSSK4,-0.29,0.05353,Superficial_Deep_Neurons
BRSK2,-0.19,0.07371,Superficial_Deep_Neurons
CAMKV,-0.18,0.09423,Superficial_Deep_Neurons
TSSK2,-0.21,0.1267,Superficial_Deep_Neurons
HUNK,-0.2,0.1315,Superficial_Deep_Neurons
DAPK3,0.23,0.13151,Superficial_Deep_Neurons
CAMK1,-0.22,0.13169,Superficial_Deep_Neurons
DCLK2,-0.2,0.13549,Superficial_Deep_Neurons
KALRN,-0.12,0.18055,Superficial_Deep_Neurons
STK17B,0.18,0.19511,Superficial_Deep_Neurons
MYLK2,-0.18,0.21011,Superficial_Deep_Neurons
MYLK4,-0.13,0.21916,Superficial_Deep_Neurons
CAMK2D,0.19,0.22903,Superficial_Deep_Neurons
MARK2,0.15,0.23172,Superficial_Deep_Neurons
TRIB2,0.19,0.24531,Superficial_Deep_Neurons
DCLK1,0.38,0.2486,Superficial_Deep_Neurons
MYLK,0.09,0.25592,Superficial_Deep_Neurons
MAPKAPK2,0.15,0.28855,Superficial_Deep_Neurons
PSKH1,0.11,0.31044,Superficial_Deep_Neurons
STK40,0.1,0.34646,Superficial_Deep_Neurons
DAPK1,0.12,0.37547,Superficial_Deep_Neurons
MAPKAPK3,-0.12,0.38268,Superficial_Deep_Neurons
PHKG2,-0.1,0.38333,Superficial_Deep_Neurons
CAMK2G,-0.11,0.38708,Superficial_Deep_Neurons
DAPK2,0.09,0.39126,Superficial_Deep_Neurons
PASK,-0.11,0.39143,Superficial_Deep_Neurons
PHKG1,-0.1,0.4443,Superficial_Deep_Neurons
PRKAA1,-0.07,0.45455,Superficial_Deep_Neurons
MYLK3,-0.08,0.47023,Superficial_Deep_Neurons
MKNK2,-0.11,0.49653,Superficial_Deep_Neurons
TSSK3,-0.08,0.49729,Superficial_Deep_Neurons
CAMK1G,0.06,0.5462,Superficial_Deep_Neurons
TSSK1B,0.08,0.54672,Superficial_Deep_Neurons
CHEK2,0.08,0.54894,Superficial_Deep_Neurons
MARK1,0.07,0.5637,Superficial_Deep_Neurons
CAMK2B,-0.07,0.57009,Superficial_Deep_Neurons
PSKH2,0.09,0.57163,Superficial_Deep_Neurons
TTN,-0.03,0.59267,Superficial_Deep_Neurons
CAMK2A,0.08,0.59626,Superficial_Deep_Neurons
MAPKAPK5,-0.06,0.60876,Superficial_Deep_Neurons
OBSCN,0.03,0.65018,Superficial_Deep_Neurons
PRKD2,-0.06,0.65743,Superficial_Deep_Neurons
CAMK4,-0.06,0.6685,Superficial_Deep_Neurons
STK11,0.06,0.68898,Superficial_Deep_Neurons
NIM1K,-0.04,0.71436,Superficial_Deep_Neurons
SNRK,0.04,0.73681,Superficial_Deep_Neurons
TSSK6,0.03,0.80336,Superficial_Deep_Neurons
MELK,-0.02,0.83258,Superficial_Deep_Neurons
CAMK1D,0.03,0.84664,Superficial_Deep_Neurons
NUAK1,-0.03,0.84922,Superficial_Deep_Neurons
SIK3,-0.02,0.85129,Superficial_Deep_Neurons
TRIB3,-0.02,0.8648,Superficial_Deep_Neurons
PIM1,0.01,0.86608,Superficial_Deep_Neurons
MKNK1,0.02,0.87252,Superficial_Deep_Neurons
SIK2,-0.02,0.87812,Superficial_Deep_Neurons
DCLK3,-0.02,0.88307,Superficial_Deep_Neurons
PRKAA2,0.02,0.88392,Superficial_Deep_Neurons
BRSK1,-0.01,0.90389,Superficial_Deep_Neurons
TRIB1,-0.01,0.9208,Superficial_Deep_Neurons
PRKD1,0.01,0.93307,Superficial_Deep_Neurons
STK33,-0.01,0.93933,Superficial_Deep_Neurons
TRIO,0.01,0.95812,Superficial_Deep_Neurons
PRKD3,0,0.97019,Superficial_Deep_Neurons
NUAK2,0,0.97774,Superficial_Deep_Neurons
MARK4,0,0.99987,Superficial_Deep_Neurons
PIM3,-0.55,0.00324,Lewis_2017_L3
MAPKAPK2,-0.26,0.03736,Lewis_2017_L3
MAPKAPK5,-0.5,0.04174,Lewis_2017_L3
SIK1,-0.36,0.06884,Lewis_2017_L3
MYLK3,0.27,0.07565,Lewis_2017_L3
MKNK2,0.15,0.08259,Lewis_2017_L3
MARK1,0.22,0.08399,Lewis_2017_L3
PSKH1,0.13,0.09149,Lewis_2017_L3
TRIB1,-0.26,0.14762,Lewis_2017_L3
PRKAA1,-0.32,0.1534,Lewis_2017_L3
STK40,0.2,0.16393,Lewis_2017_L3
STK17B,0.27,0.16671,Lewis_2017_L3
PRKD1,-0.27,0.16936,Lewis_2017_L3
TRIO,-0.37,0.17742,Lewis_2017_L3
STK33,0.17,0.19087,Lewis_2017_L3
NUAK2,-0.09,0.19613,Lewis_2017_L3
CAMK2D,-0.17,0.21947,Lewis_2017_L3
CAMK1,-0.18,0.29691,Lewis_2017_L3
TTN,0.09,0.31033,Lewis_2017_L3
MKNK1,0.08,0.32096,Lewis_2017_L3
DCLK3,0.06,0.32642,Lewis_2017_L3
CAMK1D,0.14,0.33089,Lewis_2017_L3
PIM2,-0.2,0.33108,Lewis_2017_L3
MYLK2,-0.06,0.34254,Lewis_2017_L3
STK11,0.06,0.35726,Lewis_2017_L3
PNCK,-0.09,0.35896,Lewis_2017_L3
DCLK2,-0.14,0.36561,Lewis_2017_L3
TSSK4,-0.05,0.3783,Lewis_2017_L3
BRSK1,0.1,0.38774,Lewis_2017_L3
HUNK,0.07,0.41584,Lewis_2017_L3
MARK3,-0.22,0.42676,Lewis_2017_L3
MYLK4,-0.14,0.4355,Lewis_2017_L3
PIM1,-0.11,0.43949,Lewis_2017_L3
NIM1K,0.22,0.44298,Lewis_2017_L3
PHKG1,-0.08,0.46151,Lewis_2017_L3
CHEK2,-0.12,0.48655,Lewis_2017_L3
DCLK1,-0.06,0.49168,Lewis_2017_L3
BRSK2,0.1,0.49303,Lewis_2017_L3
SIK2,-0.12,0.49315,Lewis_2017_L3
MELK,-0.02,0.50901,Lewis_2017_L3
TRIB2,-0.14,0.52999,Lewis_2017_L3
CASK,0.14,0.53177,Lewis_2017_L3
SIK3,0.11,0.54589,Lewis_2017_L3
CAMKV,0.07,0.5554,Lewis_2017_L3
CAMK4,-0.1,0.56452,Lewis_2017_L3
PSKH2,-0.02,0.5742,Lewis_2017_L3
STK17A,-0.16,0.58615,Lewis_2017_L3
DAPK1,-0.16,0.58971,Lewis_2017_L3
DAPK3,-0.06,0.5938,Lewis_2017_L3
PRKAA2,0.07,0.59387,Lewis_2017_L3
CAMK2A,0.04,0.62746,Lewis_2017_L3
OBSCN,-0.02,0.7143,Lewis_2017_L3
CAMK1G,0.09,0.72084,Lewis_2017_L3
MARK4,0.03,0.72249,Lewis_2017_L3
NUAK1,0.04,0.73713,Lewis_2017_L3
KALRN,0.03,0.75801,Lewis_2017_L3
DAPK2,0.02,0.76336,Lewis_2017_L3
PASK,-0.02,0.77848,Lewis_2017_L3
TSSK3,0.02,0.80461,Lewis_2017_L3
CAMK2G,-0.03,0.80718,Lewis_2017_L3
TSSK2,0.02,0.81207,Lewis_2017_L3
MAPKAPK3,0.03,0.86429,Lewis_2017_L3
MYLK,0.03,0.92891,Lewis_2017_L3
CAMK2B,0.01,0.9399,Lewis_2017_L3
MARK2,0.01,0.95622,Lewis_2017_L3
CHEK1,-0.01,0.95852,Lewis_2017_L3
TRIB3,0,0.95903,Lewis_2017_L3
PRKD3,0.02,0.96615,Lewis_2017_L3
SNRK,0,0.98121,Lewis_2017_L3
PHKG2,0,0.99289,Lewis_2017_L3
TSSK6,0,0.99379,Lewis_2017_L3
PRKD2,0,0.99569,Lewis_2017_L3
TSSK1B,0,0.99808,Lewis_2017_L3
TRIB1,-0.65,7.9e-4,Lewis_2017_L5
PRKAA1,-0.55,0.01963,Lewis_2017_L5
CAMK2A,0.2,0.02107,Lewis_2017_L5
PSKH1,0.18,0.02375,Lewis_2017_L5
PRKD2,0.2,0.03586,Lewis_2017_L5
TTN,0.19,0.03616,Lewis_2017_L5
TSSK1B,0.15,0.04182,Lewis_2017_L5
BRSK2,0.3,0.0436,Lewis_2017_L5
PHKG2,0.29,0.04819,Lewis_2017_L5
MARK4,0.17,0.06825,Lewis_2017_L5
STK17A,-0.57,0.07102,Lewis_2017_L5
HUNK,0.17,0.07121,Lewis_2017_L5
NUAK2,0.1,0.07466,Lewis_2017_L5
PRKAA2,-0.24,0.08365,Lewis_2017_L5
MAPKAPK2,0.22,0.09349,Lewis_2017_L5
SIK2,-0.28,0.11665,Lewis_2017_L5
TSSK2,0.12,0.11975,Lewis_2017_L5
CAMK1D,0.23,0.12344,Lewis_2017_L5
PASK,0.13,0.12767,Lewis_2017_L5
PRKD1,-0.32,0.12931,Lewis_2017_L5
PRKD3,0.56,0.15449,Lewis_2017_L5
PIM3,-0.25,0.19326,Lewis_2017_L5
DAPK2,0.08,0.19333,Lewis_2017_L5
DCLK3,0.08,0.20392,Lewis_2017_L5
MARK1,0.16,0.22847,Lewis_2017_L5
TRIO,-0.35,0.23203,Lewis_2017_L5
MARK2,-0.3,0.24494,Lewis_2017_L5
MYLK2,-0.06,0.29081,Lewis_2017_L5
TRIB2,-0.24,0.30221,Lewis_2017_L5
PIM2,-0.22,0.31437,Lewis_2017_L5
MELK,0.04,0.32143,Lewis_2017_L5
MKNK2,-0.09,0.33657,Lewis_2017_L5
KALRN,0.11,0.33887,Lewis_2017_L5
MYLK3,0.15,0.33974,Lewis_2017_L5
BRSK1,-0.11,0.35687,Lewis_2017_L5
CAMK1,-0.16,0.37351,Lewis_2017_L5
CHEK2,-0.16,0.38104,Lewis_2017_L5
SIK3,-0.17,0.39811,Lewis_2017_L5
STK11,0.05,0.3997,Lewis_2017_L5
PIM1,-0.13,0.40315,Lewis_2017_L5
CAMKV,0.1,0.42073,Lewis_2017_L5
NIM1K,0.24,0.43212,Lewis_2017_L5
PSKH2,0.04,0.4419,Lewis_2017_L5
MYLK,0.25,0.44504,Lewis_2017_L5
MYLK4,0.14,0.44813,Lewis_2017_L5
MARK3,-0.22,0.44817,Lewis_2017_L5
CASK,0.18,0.45761,Lewis_2017_L5
CAMK1G,-0.19,0.45976,Lewis_2017_L5
OBSCN,-0.04,0.46204,Lewis_2017_L5
MAPKAPK3,0.12,0.4781,Lewis_2017_L5
DCLK1,-0.06,0.49017,Lewis_2017_L5
SNRK,-0.06,0.55145,Lewis_2017_L5
CAMK4,-0.1,0.58335,Lewis_2017_L5
STK33,0.07,0.60913,Lewis_2017_L5
MAPKAPK5,-0.13,0.61154,Lewis_2017_L5
DCLK2,-0.08,0.61388,Lewis_2017_L5
TSSK3,-0.03,0.64902,Lewis_2017_L5
DAPK1,0.14,0.65975,Lewis_2017_L5
CAMK2G,-0.05,0.66879,Lewis_2017_L5
PHKG1,0.05,0.68675,Lewis_2017_L5
SIK1,-0.08,0.69097,Lewis_2017_L5
PNCK,0.04,0.69842,Lewis_2017_L5
TSSK4,-0.02,0.76606,Lewis_2017_L5
CAMK2B,-0.03,0.78957,Lewis_2017_L5
MKNK1,0.02,0.81805,Lewis_2017_L5
CHEK1,0.05,0.83313,Lewis_2017_L5
DAPK3,0.02,0.84515,Lewis_2017_L5
STK17B,-0.04,0.85711,Lewis_2017_L5
TSSK6,-0.01,0.91686,Lewis_2017_L5
NUAK1,0.01,0.92868,Lewis_2017_L5
TRIB3,0.01,0.93301,Lewis_2017_L5
STK40,-0.01,0.94609,Lewis_2017_L5
CAMK2D,-0.01,0.95286,Lewis_2017_L5
HUNK,-0.43,0.00302,Lewis_2015_L3
PHKG2,-0.26,0.00492,Lewis_2015_L3
SIK1,-0.43,0.00613,Lewis_2015_L3
PIM1,0.23,0.01018,Lewis_2015_L3
CAMK1,-0.25,0.01938,Lewis_2015_L3
PRKD2,0.3,0.02208,Lewis_2015_L3
PIM3,-0.21,0.02783,Lewis_2015_L3
TRIO,-0.32,0.03577,Lewis_2015_L3
PIM2,-0.21,0.05618,Lewis_2015_L3
MYLK,-0.23,0.06315,Lewis_2015_L3
STK17B,0.25,0.06887,Lewis_2015_L3
DCLK1,-0.12,0.07318,Lewis_2015_L3
MKNK1,0.17,0.09316,Lewis_2015_L3
DAPK3,-0.14,0.09981,Lewis_2015_L3
MARK2,-0.28,0.10609,Lewis_2015_L3
DCLK2,-0.22,0.10742,Lewis_2015_L3
CASK,-0.26,0.12143,Lewis_2015_L3
SIK2,0.18,0.13578,Lewis_2015_L3
PSKH1,-0.08,0.13593,Lewis_2015_L3
MAPKAPK3,0.24,0.14146,Lewis_2015_L3
TRIB2,-0.17,0.15372,Lewis_2015_L3
STK11,-0.2,0.15654,Lewis_2015_L3
PSKH2,0.06,0.17341,Lewis_2015_L3
OBSCN,0.09,0.19082,Lewis_2015_L3
MARK3,-0.16,0.20066,Lewis_2015_L3
DAPK2,0.11,0.21158,Lewis_2015_L3
PASK,0.15,0.24609,Lewis_2015_L3
MAPKAPK5,-0.22,0.24633,Lewis_2015_L3
CAMK1D,0.16,0.2596,Lewis_2015_L3
DCLK3,0.07,0.27204,Lewis_2015_L3
TSSK3,0.07,0.27368,Lewis_2015_L3
MKNK2,0.21,0.30432,Lewis_2015_L3
TSSK6,0.07,0.31152,Lewis_2015_L3
MYLK3,0.11,0.31643,Lewis_2015_L3
MELK,0.08,0.34313,Lewis_2015_L3
TTN,0.18,0.38193,Lewis_2015_L3
NUAK1,0.03,0.42892,Lewis_2015_L3
PHKG1,-0.08,0.4614,Lewis_2015_L3
CAMK1G,-0.12,0.495,Lewis_2015_L3
MYLK4,0.08,0.52633,Lewis_2015_L3
PRKAA2,-0.08,0.53657,Lewis_2015_L3
CAMK2G,-0.05,0.55631,Lewis_2015_L3
MYLK2,0.08,0.55962,Lewis_2015_L3
MAPKAPK2,-0.08,0.57034,Lewis_2015_L3
PRKD1,-0.09,0.57393,Lewis_2015_L3
BRSK2,0.13,0.57698,Lewis_2015_L3
CAMK2D,-0.05,0.6002,Lewis_2015_L3
NUAK2,0.04,0.60379,Lewis_2015_L3
PNCK,-0.03,0.61486,Lewis_2015_L3
STK33,-0.05,0.61591,Lewis_2015_L3
SIK3,-0.09,0.61955,Lewis_2015_L3
CAMK2B,0.05,0.63099,Lewis_2015_L3
BRSK1,-0.04,0.65148,Lewis_2015_L3
MARK1,-0.04,0.72071,Lewis_2015_L3
PRKAA1,-0.06,0.76581,Lewis_2015_L3
KALRN,-0.03,0.76649,Lewis_2015_L3
TSSK1B,-0.02,0.76848,Lewis_2015_L3
CAMKV,-0.04,0.77128,Lewis_2015_L3
TSSK4,0.02,0.79408,Lewis_2015_L3
STK17A,0.04,0.79722,Lewis_2015_L3
CHEK2,0.02,0.80233,Lewis_2015_L3
DAPK1,0.04,0.82757,Lewis_2015_L3
TRIB3,0.02,0.83038,Lewis_2015_L3
PRKD3,-0.04,0.84201,Lewis_2015_L3
CAMK2A,0.01,0.84427,Lewis_2015_L3
SNRK,-0.02,0.8468,Lewis_2015_L3
TSSK2,-0.01,0.84682,Lewis_2015_L3
TRIB1,-0.02,0.84971,Lewis_2015_L3
CAMK4,-0.02,0.86317,Lewis_2015_L3
