HGNC_Symbol,Log2FC,P_Value,DataSet,drug
MAPK4,-0.05,0.76518,RIS 0.5mgkg 1hr 48955,Risperidone
MAPK9,0.26,0.0303,HAL 1mgkg 1hr 48955,Haloperidol
MAPK11,-0.27,0.0441,HAL 1mgkg 1hr 48955,Haloperidol
MAPK8,-0.22,0.0694,HAL 1mgkg 1hr 48955,Haloperidol
MAPK12,0.19,0.275,HAL 1mgkg 1hr 48955,Haloperidol
MAPK6,0.16,0.319,HAL 1mgkg 1hr 48955,Haloperidol
MAPK1,0.13,0.402,HAL 1mgkg 1hr 48955,Haloperidol
MAPK14,-0.06,0.619,HAL 1mgkg 1hr 48955,Haloperidol
MAPK15,-0.06,0.623,HAL 1mgkg 1hr 48955,Haloperidol
MAPK3,0.05,0.691,HAL 1mgkg 1hr 48955,Haloperidol
MAPK13,0.04,0.721,HAL 1mgkg 1hr 48955,Haloperidol
MAPK10,-0.04,0.765,HAL 1mgkg 1hr 48955,Haloperidol
MAPK4,0.04,0.817,HAL 1mgkg 1hr 48955,Haloperidol
MAPK7,0.01,0.91,HAL 1mgkg 1hr 48955,Haloperidol
MAPK9,-0.29,0.02128,CLZ 3mgkg 2hr 48955,Clozapine
MAPK15,-0.28,0.02892,CLZ 3mgkg 2hr 48955,Clozapine
MAPK8,0.3,0.03316,CLZ 3mgkg 2hr 48955,Clozapine
MAPK13,-0.22,0.08008,CLZ 3mgkg 2hr 48955,Clozapine
MAPK1,-0.25,0.08061,CLZ 3mgkg 2hr 48955,Clozapine
MAPK10,-0.24,0.08579,CLZ 3mgkg 2hr 48955,Clozapine
MAPK14,-0.2,0.15743,CLZ 3mgkg 2hr 48955,Clozapine
MAPK3,0.2,0.19618,CLZ 3mgkg 2hr 48955,Clozapine
MAPK4,0.16,0.24904,CLZ 3mgkg 2hr 48955,Clozapine
MAPK6,0.16,0.24904,CLZ 3mgkg 2hr 48955,Clozapine
MAPK12,-0.13,0.2807,CLZ 3mgkg 2hr 48955,Clozapine
MAPK11,-0.15,0.38583,CLZ 3mgkg 2hr 48955,Clozapine
MAPK7,0.06,0.61783,CLZ 3mgkg 2hr 48955,Clozapine
MAPK11,-0.4,0.0152,RIS 0.5mgkg 2hr 48955,Risperidone
MAPK1,-0.41,0.0172,RIS 0.5mgkg 2hr 48955,Risperidone
MAPK9,-0.3,0.025,RIS 0.5mgkg 2hr 48955,Risperidone
MAPK15,0.26,0.0535,RIS 0.5mgkg 2hr 48955,Risperidone
MAPK10,0.43,0.0553,RIS 0.5mgkg 2hr 48955,Risperidone
MAPK8,0.24,0.0774,RIS 0.5mgkg 2hr 48955,Risperidone
MAPK13,-0.2,0.123,RIS 0.5mgkg 2hr 48955,Risperidone
MAPK4,0.17,0.226,RIS 0.5mgkg 2hr 48955,Risperidone
MAPK6,0.17,0.226,RIS 0.5mgkg 2hr 48955,Risperidone
MAPK7,0.1,0.414,RIS 0.5mgkg 2hr 48955,Risperidone
MAPK3,0.1,0.423,RIS 0.5mgkg 2hr 48955,Risperidone
MAPK14,-0.1,0.461,RIS 0.5mgkg 2hr 48955,Risperidone
MAPK12,-0.1,0.479,RIS 0.5mgkg 2hr 48955,Risperidone
MAPK11,-0.48,0.00473,HAL 1mgkg 2hr 48955,Haloperidol
MAPK1,-0.36,0.0102,HAL 1mgkg 2hr 48955,Haloperidol
MAPK15,0.33,0.0135,HAL 1mgkg 2hr 48955,Haloperidol
MAPK9,-0.28,0.026,HAL 1mgkg 2hr 48955,Haloperidol
MAPK10,0.39,0.0275,HAL 1mgkg 2hr 48955,Haloperidol
MAPK14,-0.29,0.0426,HAL 1mgkg 2hr 48955,Haloperidol
MAPK6,0.28,0.0962,HAL 1mgkg 2hr 48955,Haloperidol
MAPK4,0.18,0.145,HAL 1mgkg 2hr 48955,Haloperidol
MAPK13,-0.17,0.149,HAL 1mgkg 2hr 48955,Haloperidol
MAPK12,-0.17,0.16,HAL 1mgkg 2hr 48955,Haloperidol
MAPK8,-0.19,0.203,HAL 1mgkg 2hr 48955,Haloperidol
MAPK7,0.16,0.227,HAL 1mgkg 2hr 48955,Haloperidol
MAPK3,0.08,0.482,HAL 1mgkg 2hr 48955,Haloperidol
MAPK6,-0.36,0.02761,RIS_0.5mgkg_8hr_GSE48955,Risperidone
MAPK12,-0.25,0.04712,RIS_0.5mgkg_8hr_GSE48955,Risperidone
MAPK7,0.23,0.11143,RIS_0.5mgkg_8hr_GSE48955,Risperidone
MAPK10,-0.19,0.14466,RIS_0.5mgkg_8hr_GSE48955,Risperidone
MAPK3,-0.15,0.24913,RIS_0.5mgkg_8hr_GSE48955,Risperidone
MAPK8,0.11,0.35802,RIS_0.5mgkg_8hr_GSE48955,Risperidone
MAPK11,0.1,0.41833,RIS_0.5mgkg_8hr_GSE48955,Risperidone
MAPK15,0.11,0.4451,RIS_0.5mgkg_8hr_GSE48955,Risperidone
MAPK9,0.08,0.49489,RIS_0.5mgkg_8hr_GSE48955,Risperidone
MAPK1,-0.07,0.54506,RIS_0.5mgkg_8hr_GSE48955,Risperidone
MAPK13,-0.05,0.64138,RIS_0.5mgkg_8hr_GSE48955,Risperidone
MAPK14,0.03,0.78545,RIS_0.5mgkg_8hr_GSE48955,Risperidone
MAPK4,-0.02,0.90505,RIS_0.5mgkg_8hr_GSE48955,Risperidone
MAPK10,-0.46,0.00207,HAL_1mgkg_8hr_GSE48955,Haloperidol
MAPK11,0.44,0.00357,HAL_1mgkg_8hr_GSE48955,Haloperidol
MAPK6,0.31,0.00978,HAL_1mgkg_8hr_GSE48955,Haloperidol
MAPK8,0.3,0.0133,HAL_1mgkg_8hr_GSE48955,Haloperidol
MAPK15,0.32,0.0361,HAL_1mgkg_8hr_GSE48955,Haloperidol
MAPK9,0.23,0.0598,HAL_1mgkg_8hr_GSE48955,Haloperidol
MAPK12,-0.23,0.0875,HAL_1mgkg_8hr_GSE48955,Haloperidol
MAPK3,0.17,0.178,HAL_1mgkg_8hr_GSE48955,Haloperidol
MAPK1,0.18,0.236,HAL_1mgkg_8hr_GSE48955,Haloperidol
MAPK7,-0.13,0.273,HAL_1mgkg_8hr_GSE48955,Haloperidol
MAPK14,-0.07,0.543,HAL_1mgkg_8hr_GSE48955,Haloperidol
MAPK4,0.06,0.649,HAL_1mgkg_8hr_GSE48955,Haloperidol
MAPK13,0.03,0.806,HAL_1mgkg_8hr_GSE48955,Haloperidol
MAPK12,-0.25,0.03221,CLZ_3mgkg_8hr_GSE48955,Clozapine
MAPK6,0.22,0.07196,CLZ_3mgkg_8hr_GSE48955,Clozapine
MAPK8,0.18,0.12024,CLZ_3mgkg_8hr_GSE48955,Clozapine
MAPK10,-0.18,0.12373,CLZ_3mgkg_8hr_GSE48955,Clozapine
MAPK15,0.22,0.14597,CLZ_3mgkg_8hr_GSE48955,Clozapine
MAPK4,-0.18,0.15012,CLZ_3mgkg_8hr_GSE48955,Clozapine
MAPK10,-0.37,0.00834,RIS_0.5mgkg_4hr_GSE48955,Risperidone
MAPK9,-0.24,0.0353,RIS_0.5mgkg_4hr_GSE48955,Risperidone
MAPK6,0.24,0.0393,RIS_0.5mgkg_4hr_GSE48955,Risperidone
MAPK14,-0.27,0.0439,RIS_0.5mgkg_4hr_GSE48955,Risperidone
MAPK7,0.22,0.0447,RIS_0.5mgkg_4hr_GSE48955,Risperidone
MAPK4,0.25,0.0448,RIS_0.5mgkg_4hr_GSE48955,Risperidone
MAPK3,0.26,0.11,RIS_0.5mgkg_4hr_GSE48955,Risperidone
MAPK1,-0.16,0.145,RIS_0.5mgkg_4hr_GSE48955,Risperidone
MAPK11,-0.27,0.169,RIS_0.5mgkg_4hr_GSE48955,Risperidone
MAPK8,0.1,0.365,RIS_0.5mgkg_4hr_GSE48955,Risperidone
MAPK15,0.09,0.4,RIS_0.5mgkg_4hr_GSE48955,Risperidone
MAPK13,-0.1,0.421,RIS_0.5mgkg_4hr_GSE48955,Risperidone
MAPK12,0.1,0.431,RIS_0.5mgkg_4hr_GSE48955,Risperidone
MAPK10,-0.37,0.00834,HAL_1mgkg_4hr_GSE48955,Haloperidol
MAPK9,-0.24,0.0353,HAL_1mgkg_4hr_GSE48955,Haloperidol
MAPK6,0.24,0.0393,HAL_1mgkg_4hr_GSE48955,Haloperidol
MAPK14,-0.27,0.0439,HAL_1mgkg_4hr_GSE48955,Haloperidol
MAPK7,0.22,0.0447,HAL_1mgkg_4hr_GSE48955,Haloperidol
MAPK4,0.25,0.0448,HAL_1mgkg_4hr_GSE48955,Haloperidol
MAPK3,0.26,0.11,HAL_1mgkg_4hr_GSE48955,Haloperidol
MAPK1,-0.16,0.145,HAL_1mgkg_4hr_GSE48955,Haloperidol
MAPK11,-0.27,0.169,HAL_1mgkg_4hr_GSE48955,Haloperidol
MAPK8,0.1,0.365,HAL_1mgkg_4hr_GSE48955,Haloperidol
MAPK15,0.09,0.4,HAL_1mgkg_4hr_GSE48955,Haloperidol
MAPK13,-0.1,0.421,HAL_1mgkg_4hr_GSE48955,Haloperidol
MAPK12,0.1,0.431,HAL_1mgkg_4hr_GSE48955,Haloperidol
MAPK10,-0.37,0.0151,CLZ_3mgkg_4hr_GSE48955,Clozapine
MAPK3,-0.34,0.018,CLZ_3mgkg_4hr_GSE48955,Clozapine
MAPK8,-0.28,0.0198,CLZ_3mgkg_4hr_GSE48955,Clozapine
MAPK13,0.22,0.0637,CLZ_3mgkg_4hr_GSE48955,Clozapine
MAPK9,-0.2,0.074,CLZ_3mgkg_4hr_GSE48955,Clozapine
MAPK12,-0.18,0.103,CLZ_3mgkg_4hr_GSE48955,Clozapine
MAPK12,0.21,0.06969,CLZ_12wk_12mgkg_GSE6467,Clozapine
MAPK9,-0.91,0.13209,CLZ_12wk_12mgkg_GSE6467,Clozapine
MAPK11,0.4,0.13687,CLZ_12wk_12mgkg_GSE6467,Clozapine
MAPK7,0.05,0.19487,CLZ_12wk_12mgkg_GSE6467,Clozapine
MAPK14,0.06,0.33666,CLZ_12wk_12mgkg_GSE6467,Clozapine
MAPK12,0.12,0.05716,HAL_12wk_1.6mgkg_GSE6467,Haloperidol
MAPK11,0.24,0.21159,HAL_12wk_1.6mgkg_GSE6467,Haloperidol
MAPK9,-0.18,0.22249,HAL_12wk_1.6mgkg_GSE6467,Haloperidol
MAPK10,-0.17,0.27458,HAL_12wk_1.6mgkg_GSE6467,Haloperidol
MAPK8,-0.45,0.29143,HAL_12wk_1.6mgkg_GSE6467,Haloperidol
MAPK1,-0.13,0.38061,HAL_12wk_1.6mgkg_GSE6467,Haloperidol
MAPK13,-0.13,0.03056,HAL_4wk_1.6mgkg_GSE6511,Haloperidol
MAPK8,-0.25,0.04558,HAL_4wk_1.6mgkg_GSE6511,Haloperidol
MAPK1,0.26,0.08977,HAL_4wk_1.6mgkg_GSE6511,Haloperidol
MAPK12,-0.05,0.18712,HAL_4wk_1.6mgkg_GSE6511,Haloperidol
MAPK14,0.11,0.33725,HAL_4wk_1.6mgkg_GSE6511,Haloperidol
MAPK9,0.59,0.45252,HAL_4wk_1.6mgkg_GSE6511,Haloperidol
MAPK10,0.1,0.5181,HAL_4wk_1.6mgkg_GSE6511,Haloperidol
MAPK8,-0.08,0.18687,CLZ_4wk_1.6mgkg_GSE6511,Clozapine
MAPK6,-0.07,0.20539,CLZ_4wk_1.6mgkg_GSE6511,Clozapine
MAPK1,0.18,0.3069,CLZ_4wk_1.6mgkg_GSE6511,Clozapine
MAPK3,0.22,0.32831,CLZ_4wk_1.6mgkg_GSE6511,Clozapine
MAPK10,0.14,0.41692,CLZ_4wk_1.6mgkg_GSE6511,Clozapine
MAPK9,0.58,0.47151,CLZ_4wk_1.6mgkg_GSE6511,Clozapine
MAPK7,0.02,0.68325,CLZ_4wk_1.6mgkg_GSE6511,Clozapine
MAPK12,0.02,0.7193,CLZ_4wk_1.6mgkg_GSE6511,Clozapine
MAPK13,0.01,0.87664,CLZ_4wk_1.6mgkg_GSE6511,Clozapine
MAPK14,0,0.95091,CLZ_4wk_1.6mgkg_GSE6511,Clozapine
MAPK7,-0.02,0.8494,CLZ_hindbrain_B6_GSE33822,Clozapine
MAPK9,0.01,0.85018,CLZ_hindbrain_B6_GSE33822,Clozapine
MAPK8,-0.1,0.16981,CLZ_hindbrain_B6_GSE33822,Clozapine
MAPK6,0.01,0.93284,CLZ_hindbrain_B6_GSE33822,Clozapine
MAPK4,0.12,0.11881,CLZ_hindbrain_B6_GSE33822,Clozapine
MAPK3,-0.08,0.19857,CLZ_hindbrain_B6_GSE33822,Clozapine
MAPK15,0.11,0.33666,CLZ_hindbrain_B6_GSE33822,Clozapine
MAPK14,-0.07,0.34845,CLZ_hindbrain_B6_GSE33822,Clozapine
MAPK13,0.05,0.47551,CLZ_hindbrain_B6_GSE33822,Clozapine
MAPK12,0.03,0.82345,CLZ_hindbrain_B6_GSE33822,Clozapine
MAPK11,-0.02,0.83069,CLZ_hindbrain_B6_GSE33822,Clozapine
MAPK10,-0.05,0.46748,CLZ_hindbrain_B6_GSE33822,Clozapine
MAPK1,0.07,0.41436,CLZ_hindbrain_B6_GSE33822,Clozapine
MAPK7,0.11,0.22478,CLZ_forebrain_B6_GSE33822,Clozapine
MAPK9,-0.01,0.84791,CLZ_forebrain_B6_GSE33822,Clozapine
MAPK8,-0.08,0.27429,CLZ_forebrain_B6_GSE33822,Clozapine
MAPK6,0,0.95298,CLZ_forebrain_B6_GSE33822,Clozapine
MAPK4,0.13,0.10659,CLZ_forebrain_B6_GSE33822,Clozapine
MAPK3,-0.04,0.63632,CLZ_forebrain_B6_GSE33822,Clozapine
MAPK15,0.11,0.13487,CLZ_forebrain_B6_GSE33822,Clozapine
MAPK14,-0.08,0.22722,CLZ_forebrain_B6_GSE33822,Clozapine
MAPK13,0.01,0.94222,CLZ_forebrain_B6_GSE33822,Clozapine
MAPK12,0.12,0.18514,CLZ_forebrain_B6_GSE33822,Clozapine
MAPK11,-0.05,0.61106,CLZ_forebrain_B6_GSE33822,Clozapine
MAPK10,0.09,0.40192,CLZ_forebrain_B6_GSE33822,Clozapine
MAPK1,-0.02,0.73799,CLZ_forebrain_B6_GSE33822,Clozapine
MAPK7,-0.13,0.15458,CLZ_wholebrain_B6_GSE33822,Clozapine
MAPK9,0.03,0.65471,CLZ_wholebrain_B6_GSE33822,Clozapine
MAPK8,0.13,0.10849,CLZ_wholebrain_B6_GSE33822,Clozapine
MAPK6,0.01,0.88378,CLZ_wholebrain_B6_GSE33822,Clozapine
MAPK4,0.07,0.39082,CLZ_wholebrain_B6_GSE33822,Clozapine
MAPK3,0.01,0.83785,CLZ_wholebrain_B6_GSE33822,Clozapine
MAPK15,0.02,0.86063,CLZ_wholebrain_B6_GSE33822,Clozapine
MAPK14,0.02,0.84341,CLZ_wholebrain_B6_GSE33822,Clozapine
MAPK13,-0.09,0.41684,CLZ_wholebrain_B6_GSE33822,Clozapine
MAPK12,-0.06,0.56893,CLZ_wholebrain_B6_GSE33822,Clozapine
MAPK11,0.01,0.91804,CLZ_wholebrain_B6_GSE33822,Clozapine
MAPK10,0.02,0.71899,CLZ_wholebrain_B6_GSE33822,Clozapine
MAPK1,0.02,0.73287,CLZ_wholebrain_B6_GSE33822,Clozapine
MAPK8,0.23,0.15303,LOX_119290,Loxapine
MAPK6,0.45,0.00394,LOX_119290,Loxapine
MAPK3,-0.15,0.23662,LOX_119290,Loxapine
MAPK7,-0.04,0.73539,LOX_119290,Loxapine
MAPK4,-0.06,0.91799,LOX_119290,Loxapine
MAPK1,-0.07,0.58422,LOX_119290,Loxapine
MAPK12,0.2,0.22478,LOX_119290,Loxapine
MAPK11,0.08,0.68583,LOX_119290,Loxapine
MAPK10,-0.18,0.1015,LOX_119290,Loxapine
MAPK9,0.07,0.36505,LOX_119290,Loxapine
MAPK14,-0.18,0.04816,LOX_119290,Loxapine
MAPK13,0.21,0.58797,LOX_119290,Loxapine
MAPK15,-0.08,0.74714,LOX_119290,Loxapine
MAPK7,-0.14,0.20045,CLZ_93918,Clozapine
MAPK13,-0.21,0.70835,CLZ_93918,Clozapine
MAPK9,0.06,0.28183,CLZ_93918,Clozapine
MAPK8,0.02,0.81487,CLZ_93918,Clozapine
MAPK12,-0.3,0.08675,CLZ_93918,Clozapine
MAPK4,-0.4,0,CLZ_93918,Clozapine
MAPK6,-0.4,0,CLZ_93918,Clozapine
MAPK10,-0.01,0.87105,CLZ_93918,Clozapine
MAPK11,-0.31,1e-5,CLZ_93918,Clozapine
MAPK14,-0.13,0.0475,CLZ_93918,Clozapine
MAPK3,0.08,0.28857,CLZ_93918,Clozapine
MAPK1,0,0.98668,CLZ_93918,Clozapine
MAPK15,-0.09,0.93101,CLZ_93918,Clozapine
MAPK1,0.18,0.39518,LOX_110256,Loxapine
MAPK10,0.14,0.51184,LOX_110256,Loxapine
MAPK11,0,0.98113,LOX_110256,Loxapine
MAPK12,-0.2,0.61901,LOX_110256,Loxapine
MAPK13,0.04,0.97566,LOX_110256,Loxapine
MAPK14,0.07,0.66146,LOX_110256,Loxapine
MAPK15,-0.56,0.15592,LOX_110256,Loxapine
MAPK3,0.17,0.4577,LOX_110256,Loxapine
MAPK4,-0.11,0.65239,LOX_110256,Loxapine
MAPK6,-0.11,0.65239,LOX_110256,Loxapine
MAPK7,0.1,0.44382,LOX_110256,Loxapine
MAPK8,0.1,0.61017,LOX_110256,Loxapine
MAPK9,0.09,0.42104,LOX_110256,Loxapine
MAPK1,0.05,0.79738,ZIP_110256,Ziprasidone
MAPK10,0.1,0.64709,ZIP_110256,Ziprasidone
MAPK11,0.1,0.6314,ZIP_110256,Ziprasidone
MAPK12,0.23,0.54817,ZIP_110256,Ziprasidone
MAPK13,-0.76,0.60639,ZIP_110256,Ziprasidone
MAPK14,-0.04,0.80969,ZIP_110256,Ziprasidone
MAPK15,-0.17,0.63612,ZIP_110256,Ziprasidone
MAPK3,0.01,0.96035,ZIP_110256,Ziprasidone
MAPK4,-0.26,0.28907,ZIP_110256,Ziprasidone
MAPK6,-0.26,0.28907,ZIP_110256,Ziprasidone
MAPK7,0.06,0.62389,ZIP_110256,Ziprasidone
MAPK8,0.1,0.61757,ZIP_110256,Ziprasidone
MAPK9,0.07,0.50836,ZIP_110256,Ziprasidone
MAPK7,0.41,0.13801,OLA-52615-cerebellum,Olanzapine
MAPK15,0.75,0.17351,OLA-52615-cerebellum,Olanzapine
MAPK8,0.23,0.20033,OLA-52615-cerebellum,Olanzapine
MAPK10,-0.19,0.28636,OLA-52615-cerebellum,Olanzapine
MAPK12,0.15,0.31601,OLA-52615-cerebellum,Olanzapine
MAPK6,-0.13,0.31732,OLA-52615-cerebellum,Olanzapine
MAPK11,-0.17,0.32886,OLA-52615-cerebellum,Olanzapine
MAPK13,0.53,0.43858,OLA-52615-cerebellum,Olanzapine
MAPK4,-0.31,0.44915,OLA-52615-cerebellum,Olanzapine
MAPK14,-0.1,0.4891,OLA-52615-cerebellum,Olanzapine
MAPK3,0.32,0.63884,OLA-52615-cerebellum,Olanzapine
MAPK1,0.08,0.74537,OLA-52615-cerebellum,Olanzapine
MAPK9,0.04,0.8559,OLA-52615-cerebellum,Olanzapine
MAPK10,0.05,1,CLO 25mgkg (Iwata 2006),Clozapine
MAPK14,-0.01,1,CLO 25mgkg (Iwata 2006),Clozapine
MAPK1,0.44,1,CLO 25mgkg (Iwata 2006),Clozapine
MAPK3,0.18,1,CLO 25mgkg (Iwata 2006),Clozapine
MAPK7,-0.52,1,CLO 25mgkg (Iwata 2006),Clozapine
MAPK6,-0.02,1,CLO 25mgkg (Iwata 2006),Clozapine
MAPK8,-0.67,1,CLO 25mgkg (Iwata 2006),Clozapine
MAPK9,-0.06,1,CLO 25mgkg (Iwata 2006),Clozapine
MAPK4,-0.09,1,CLO 25mgkg (Iwata 2006),Clozapine
MAPK11,-0.49,1,CLO 25mgkg (Iwata 2006),Clozapine
MAPK12,0.63,1,CLO 25mgkg (Iwata 2006),Clozapine
MAPK13,-0.17,1,CLO 25mgkg (Iwata 2006),Clozapine
MAPK10,-0.1,1,OLA 1.25mgkg (Iwata 2006),Olanzapine
MAPK14,-0.04,1,OLA 1.25mgkg (Iwata 2006),Olanzapine
MAPK1,-0.58,1,OLA 1.25mgkg (Iwata 2006),Olanzapine
MAPK3,-0.27,1,OLA 1.25mgkg (Iwata 2006),Olanzapine
MAPK7,-0.4,1,OLA 1.25mgkg (Iwata 2006),Olanzapine
MAPK6,0.05,1,OLA 1.25mgkg (Iwata 2006),Olanzapine
MAPK8,-0.93,1,OLA 1.25mgkg (Iwata 2006),Olanzapine
MAPK9,-0.37,1,OLA 1.25mgkg (Iwata 2006),Olanzapine
MAPK4,-0.19,1,OLA 1.25mgkg (Iwata 2006),Olanzapine
MAPK11,0.21,1,OLA 1.25mgkg (Iwata 2006),Olanzapine
MAPK12,0.74,1,OLA 1.25mgkg (Iwata 2006),Olanzapine
MAPK13,-0.46,1,OLA 1.25mgkg (Iwata 2006),Olanzapine
MAPK10,-0.11,1,QUE 18.75mgkg (Iwata 2006),Quetiapine
MAPK14,-0.12,1,QUE 18.75mgkg (Iwata 2006),Quetiapine
MAPK1,-0.07,1,QUE 18.75mgkg (Iwata 2006),Quetiapine
MAPK3,-0.1,1,QUE 18.75mgkg (Iwata 2006),Quetiapine
MAPK7,-0.52,1,QUE 18.75mgkg (Iwata 2006),Quetiapine
MAPK6,0.05,1,QUE 18.75mgkg (Iwata 2006),Quetiapine
MAPK8,-0.63,1,QUE 18.75mgkg (Iwata 2006),Quetiapine
MAPK9,-0.8,1,QUE 18.75mgkg (Iwata 2006),Quetiapine
MAPK4,-0.05,1,QUE 18.75mgkg (Iwata 2006),Quetiapine
MAPK11,-0.11,1,QUE 18.75mgkg (Iwata 2006),Quetiapine
MAPK12,0,1,QUE 18.75mgkg (Iwata 2006),Quetiapine
MAPK13,-0.68,1,QUE 18.75mgkg (Iwata 2006),Quetiapine
MAPK10,-0.51,1,THI 25 mgkg (Iwata 2006),Thiothixene
MAPK14,-0.1,1,THI 25 mgkg (Iwata 2006),Thiothixene
MAPK1,-0.07,1,THI 25 mgkg (Iwata 2006),Thiothixene
MAPK3,0.17,1,THI 25 mgkg (Iwata 2006),Thiothixene
MAPK7,-0.18,1,THI 25 mgkg (Iwata 2006),Thiothixene
MAPK6,-0.01,1,THI 25 mgkg (Iwata 2006),Thiothixene
MAPK8,-0.75,1,THI 25 mgkg (Iwata 2006),Thiothixene
MAPK9,-0.35,1,THI 25 mgkg (Iwata 2006),Thiothixene
MAPK4,-0.07,1,THI 25 mgkg (Iwata 2006),Thiothixene
MAPK11,0.11,1,THI 25 mgkg (Iwata 2006),Thiothixene
MAPK12,-0.22,1,THI 25 mgkg (Iwata 2006),Thiothixene
MAPK13,-0.17,1,THI 25 mgkg (Iwata 2006),Thiothixene
MAPK9,0.1,0.2707,CLZ_high_Colantuoni (4031),Clozapine
MAPK8,-0.05,0.40382,CLZ_high_Colantuoni (4031),Clozapine
MAPK10,-0.05,0.40382,CLZ_high_Colantuoni (4031),Clozapine
MAPK6,-0.06,0.36468,CLZ_high_Colantuoni (4031),Clozapine
MAPK4,0.25,0.29633,CLZ_high_Colantuoni (4031),Clozapine
MAPK3,0.12,0.26998,CLZ_high_Colantuoni (4031),Clozapine
MAPK15,-0.1,0.60894,CLZ_high_Colantuoni (4031),Clozapine
MAPK14,0.11,0.10914,CLZ_high_Colantuoni (4031),Clozapine
MAPK13,0.03,0.93056,CLZ_high_Colantuoni (4031),Clozapine
MAPK12,-0.12,0.47779,CLZ_high_Colantuoni (4031),Clozapine
MAPK11,0.07,0.48235,CLZ_high_Colantuoni (4031),Clozapine
MAPK1,-0.07,0.37106,CLZ_high_Colantuoni (4031),Clozapine
MAPK7,0.36,0.36576,CLZ_high_Colantuoni (4031),Clozapine
MAPK12,-0.19,0.20854,CLZ_medium_Colantuoni(4031),Clozapine
MAPK4,0.23,0.24747,CLZ_medium_Colantuoni(4031),Clozapine
MAPK15,-0.24,0.25539,CLZ_medium_Colantuoni(4031),Clozapine
MAPK8,0.07,0.26848,CLZ_medium_Colantuoni(4031),Clozapine
MAPK10,0.07,0.26848,CLZ_medium_Colantuoni(4031),Clozapine
MAPK1,-0.04,0.33537,CLZ_medium_Colantuoni(4031),Clozapine
MAPK3,-0.04,0.33537,CLZ_medium_Colantuoni(4031),Clozapine
MAPK7,0.42,0.34939,CLZ_medium_Colantuoni(4031),Clozapine
MAPK14,0.06,0.35839,CLZ_medium_Colantuoni(4031),Clozapine
MAPK9,0.05,0.42879,CLZ_medium_Colantuoni(4031),Clozapine
MAPK6,-0.05,0.46749,CLZ_medium_Colantuoni(4031),Clozapine
MAPK11,0.05,0.6156,CLZ_medium_Colantuoni(4031),Clozapine
MAPK13,-0.16,0.64195,CLZ_medium_Colantuoni(4031),Clozapine
MAPK9,0.1,0.14799,CLZ-low-Colantuoni(4031),Clozapine
MAPK8,0.03,0.42297,CLZ-low-Colantuoni(4031),Clozapine
MAPK10,0.03,0.42297,CLZ-low-Colantuoni(4031),Clozapine
MAPK6,-0.02,0.68294,CLZ-low-Colantuoni(4031),Clozapine
MAPK4,0.26,0.10494,CLZ-low-Colantuoni(4031),Clozapine
MAPK3,-0.09,0.53802,CLZ-low-Colantuoni(4031),Clozapine
MAPK15,-0.09,0.62612,CLZ-low-Colantuoni(4031),Clozapine
MAPK14,0.08,0.16418,CLZ-low-Colantuoni(4031),Clozapine
MAPK13,-0.08,0.79391,CLZ-low-Colantuoni(4031),Clozapine
MAPK12,-0.17,0.28229,CLZ-low-Colantuoni(4031),Clozapine
MAPK11,0.05,0.61622,CLZ-low-Colantuoni(4031),Clozapine
MAPK1,-0.08,0.32561,CLZ-low-Colantuoni(4031),Clozapine
MAPK7,0.29,0.52069,CLZ-low-Colantuoni(4031),Clozapine
MAPK9,-0.1,0.19555,HAL medium Colantuoni (4031),Haloperidol
MAPK8,0.02,0.76341,HAL medium Colantuoni (4031),Haloperidol
MAPK10,0.02,0.76341,HAL medium Colantuoni (4031),Haloperidol
MAPK6,0.02,0.75844,HAL medium Colantuoni (4031),Haloperidol
MAPK4,0.16,0.36786,HAL medium Colantuoni (4031),Haloperidol
MAPK3,-0.06,0.72032,HAL medium Colantuoni (4031),Haloperidol
MAPK15,0.15,0.34491,HAL medium Colantuoni (4031),Haloperidol
MAPK14,0.04,0.48088,HAL medium Colantuoni (4031),Haloperidol
MAPK13,0.29,0.52222,HAL medium Colantuoni (4031),Haloperidol
MAPK12,-0.15,0.41416,HAL medium Colantuoni (4031),Haloperidol
MAPK11,0.05,0.57514,HAL medium Colantuoni (4031),Haloperidol
MAPK1,-0.14,0.06732,HAL medium Colantuoni (4031),Haloperidol
MAPK7,0.12,0.80284,HAL medium Colantuoni (4031),Haloperidol
MAPK9,0.01,0.89017,HAL High Colantuoni (4031),Haloperidol
MAPK8,-0.08,0.21951,HAL High Colantuoni (4031),Haloperidol
MAPK10,-0.08,0.21951,HAL High Colantuoni (4031),Haloperidol
MAPK6,0,0.97915,HAL High Colantuoni (4031),Haloperidol
MAPK4,-0.15,0.18089,HAL High Colantuoni (4031),Haloperidol
MAPK3,-0.17,0.22049,HAL High Colantuoni (4031),Haloperidol
MAPK15,-0.15,0.3537,HAL High Colantuoni (4031),Haloperidol
MAPK14,0,0.99923,HAL High Colantuoni (4031),Haloperidol
MAPK13,0,0.99163,HAL High Colantuoni (4031),Haloperidol
MAPK12,0.09,0.58211,HAL High Colantuoni (4031),Haloperidol
MAPK11,0.14,0.16397,HAL High Colantuoni (4031),Haloperidol
MAPK1,-0.06,0.36591,HAL High Colantuoni (4031),Haloperidol
MAPK7,0.08,0.83974,HAL High Colantuoni (4031),Haloperidol
MAPK9,-0.04,0.5995,HAL Low Colantuoni (4031),Haloperidol
